Nom,Âge,Email,Ville,Salaire,Expérience (années),Nombre_Enfants,Possède_voiture
John Doe,29,john.doe@example.com,Paris,3000.0,5,1,OUI
Jane Smith,34,jane.smith@example.com,Lyon,4500.0,10,2,NON
Paul Martin,22,paul.martin@example.com,Marseille,2800.0,2,0,OUI
Alice Dupont,33,alice.dupont@example.com,Bordeaux,3200.0,3,3,OUI
Marc Leblanc,120,marc.leblanc@example.com,Toulouse,300.0,50,2,NON
Sophie Durand,31,sophie.durand@example.com,Nice,5000.0,2,4,OUI
Michel Lefevre,5,michel.lefevre@example.com,Lille,6000.0,15,1,OUI
Emma Bernard,28,emma.bernard@example.com,Strasbourg,3200.0,8,2,NON
David Robert,45,david.robert@example.com,Montpellier,7000.0,8,3,OUI
Julie Lemoine,33,julie.lemoine@example.com,Rennes,4800.0,12,1,NON
Alice Dupont,40,alice.dupont@example.com,Bordeaux,3200.0,3,3,OUI
Sarah Moreau,120,sarah.moreau@example.com,Grenoble,3200.0,8,5,NON
Pierre Garnier,33,pierre.garnier@example.com,Nantes,2500.0,20,2,OUI
